IDPIF,SUPQUEMADA,MUERTOS,HERIDOS,COMUNIDAD,PROVINCIA,COMARCA,MUNICIPIO,LATITUD,LONGITUD,FECHA,TIME_CTRL,TIME_EXT,IDGRUPOCAUSA,CAUSA,PERSONAL,PESADOS,AEREOS,GASTOS_EXT,PERDIDAS
2012331436,106.0,0,0,ASTURIAS,ASTURIAS,NARCEA,IBIAS,43.02158300,-6.94288400,2012-08-10,1800,4594,2,OTRAS NEGLIGENCIAS (ACTIVIDADES APÍCOLAS),68,8,9,0,0
2011390590,106.0,0,0,CANTABRIA,CANTABRIA,COMARCA 4,"TOJOS, LOS",43.14314400,-4.21725100,2011-04-09,930,980,4,Provocados por pastores y ganaderos para regenerar el pasto,21,1,2,3808,439268
2010390165,106.0,0,0,CANTABRIA,CANTABRIA,COMARCA 9,SAN ROQUE DE RIOMIERA,43.22013000,-3.71720300,2010-03-15,0,690,5,RAYO,0,0,0,0,67256
2007240285,105.92,0,0,CASTILLA Y LEON,LEON,VEGA DE ESPINAREDA,PERANZANES,42.90147700,-6.68031900,2007-11-09,1314,5924,4,Provocados por cazadores para facilitar la caza,38,0,5,0,0
2012490367,105.65,0,0,CASTILLA Y LEON,ZAMORA,PUEBLA DE SANABRIA,LUBIAN,42.06944500,-6.94771000,2012-03-31,2350,2380,4,Sin datos,7,0,0,0,0
2012390026,105.6,0,0,CANTABRIA,CANTABRIA,COMARCA 8,VEGA DE PAS,43.15120700,-3.76463200,2012-02-28,190,1330,4,Provocados por pastores y ganaderos para regenerar el pasto,13,0,0,1284,115420
2011240144,105.41,0,0,CASTILLA Y LEON,LEON,VILLABLINO-HUERGAS DE BABIA,VILLABLINO,43.03744700,-6.35238200,2011-04-07,500,500,4,Sin datos,9,0,1,0,0
2013220005,105.38,0,0,ARAGON,HUESCA,RIBAGORZA,MONTANUY,42.56490800,0.72947400,2013-01-05,2290,5200,4,Sin datos,130,5,10,0,145200
2004140086,105.16,0,0,ANDALUCIA,CORDOBA,VALLE DEL GUADIATO,VILLAHARTA,38.14079400,-4.89894100,2004-07-31,4380,4590,3,QUEMA PARA REG. PASTOS (SIN ESPECIFICAR),206,18,10,0,7326
2004140052,105.14,0,0,ANDALUCIA,CORDOBA,VALLE DE LOS PEDROCHES,SANTA EUFEMIA,38.64695300,-4.88930800,2004-07-13,1175,1870,3,TRABAJOS FORESTALES,129,7,7,0,0
2005430185,105.08,0,0,CATALUÑA,TARRAGONA,TERRA ALTA,"POBLA DE MASSALUCA, LA",41.21990800,0.37191500,2005-08-22,1437,2928,3,QUEMA PARA REG. PASTOS (SIN ESPECIFICAR),738,70,20,0,0
2006361535,105.0,0,0,GALICIA,PONTEVEDRA,O CONDADO-A PARANDATA,"CAÑIZA, A",42.16070400,-8.33688900,2006-08-05,1035,1125,4,Otras motivaciones,11,2,3,110420,987196
2005490476,105.0,0,0,CASTILLA Y LEON,ZAMORA,EL PUENTE,PÍAS,42.11064600,-6.94740400,2005-04-29,300,420,4,Provocados por pastores y ganaderos para regenerar el pasto,2,0,0,0,0
